"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"AAF10"	"AAF"	"Lumboperitoneal shunt"	""	""	""	""	""	""
"AAF15"	"AAF"	"Ventrikuloatrial shunt"	""	""	""	""	""	""
"AAF20"	"AAF"	"Revision av ventrikelshunt"	""	""	""	""	"Intraabdominal revision, se JAL50-JAL51"	""
"AAF25"	"AAF"	"Avlägsnande av ventrikelshunt"	""	""	""	""	""	""
"AAF30"	"AAF"	"Inläggande av intraventrikulär injektionsport"	""	""	""	""	""	""
"AAF35"	"AAF"	"Inläggande av reservoar för intraventrikulär behandling"	""	""	""	""	""	""
"AAF40"	"AAF"	"Anläggande av shunt mellan intrakraniell cysta och peritoneum"	""	""	""	""	""	""
"AAF45"	"AAF"	"Fenestrering av intrakraniell cysta"	""	""	""	""	""	""
"AAF99"	"AAF"	"Annan shuntoperation på hjärnventrikel eller intrakraniell cysta"	""	""	""	""	""	""
"AAG"	"AA"	"Stereotaktiska intrakraniella operationer"	""	""	""	""	""	""
"AAG00"	"AAG"	"Stereotaktisk intrakraniell biopsi"	""	""	""	""	""	""
"AAG10"	"AAG"	"Stereotaktisk intrakraniell destruktion av nukleus eller nervbana"	""	""	""	""	""	""
"AAG20"	"AAG"	"Stereotaktiskt intrakraniellt inläggande av elektroder"	""	""	""	"Intracerebral stimuleringsutrustning (deep brain stimulator)"	"Byte av impulsgenerator och avlägsnande av utrustning, se AEA"	""
"AAG30"	"AAG"	"Stereotaktisk intrakraniell implantation av strålkälla"	""	""	""	""	""	""
"AAG40"	"AAG"	"Stereotaktisk intrakraniell implantation av fosternervceller eller autologa celler"	""	""	""	""	""	""
"AAG50"	"AAG"	"Stereotaktisk intrakraniell strålbehandling"	""	""	""	""	""	""
"AAG99"	"AAG"	"Annan stereotaktisk intrakraniell operation"	""	""	""	""	""	""
"AAH"	"AA"	"Operationer på kranialnerver"	""	""	""	""	"Inläggande av intrakraniell stimuleringsutrustning eller injektionsport, se AAW01–02"	""
"AAH"	""	""	""	""	""	""	"Rekonstruktiva operationer vid ansiktsförlamning, se AAP"	""
"AAH10"	"AAH"	"Rizotomi av kranialnerv"	""	""	""	""	""	""
"AAH20"	"AAH"	"Dekompression av kranialnerv"	""	""	""	""	""	""
"AAH30"	"AAH"	"Termolesion av kranialnerv"	""	""	""	""	""	""
"AAH40"	"AAH"	"Injektion i kranialnerv"	""	""	""	""	""	""
"AAH50"	"AAH"	"Anastomos av kranialnerv"	""	""	""	""	""	""
"AAH60"	"AAH"	"Mikrovaskulär dekompression av kranialnerv"	""	""	""	""	""	""
"AAH70"	"AAH"	"Nervtransplantation till kranialnerv"	""	""	""	""	""	""
"AAH80"	"AAH"	"Transferering av kranialnerv"	""	""	""	""	""	""
"AAH99"	"AAH"	"Annan operation på kranialnerv"	""	""	""	""	""	""
"AAJ"	"AA"	"Operationer p.g.a. epilepsi"	""	""	""	""	"Inläggande av vagusnervsstimuleringsutrustning, se ADB00"	""
"AAJ00"	"AAJ"	"Hemisfärektomi vid epilepsi"	""	""	""	""	""	""
"AAJ10"	"AAJ"	"Lobektomi vid epilepsi"	""	""	""	""	""	""
"AAJ15"	"AAJ"	"Hippokampektomi vid epilepsi"	""	""	""	""	""	""
"AAJ20"	"AAJ"	"Resektion av epileptiskt fokus"	""	""	""	""	""	""
"AAJ25"	"AAJ"	"Avskärning av nervbanor vid epilepsi"	""	""	""	""	""	""
"AAJ30"	"AAJ"	"Kallosotomi vid epilepsi"	""	""	""	""	""	""
"AAJ35"	"AAJ"	"Hemidekortikation vid epilepsi"	""	""	""	""	""	""
"AAJ99"	"AAJ"	"Annan operation vid epilepsi"	""	""	""	""	""	""
"AAK"	"AA"	"Operationer på kranium och hårda hjärnhinnan"	""	""	""	""	"Pga. trauma, se AAD40"	"Tilläggskoder för specifikation av transplantat och lambå, se ZZ"
"AAK00"	"AAK"	"Kranioplastik"	""	""	""	""	""	""
"AAK10"	"AAK"	"Duraplastik"	""	""	""	""	""	""
"AAK20"	"AAK"	"Operationer p.g.a. kraniosynostos"	""	""	""	""	""	""
"AAK30"	"AAK"	"Kraniofacial rekonstruktion vid missbildning"	""	""	""	""	""	""
"AAK40"	"AAK"	"Ocklusion av likvorfistel"	""	""	""	""	""	""
"AAK50"	"AAK"	"Reposition och osteosyntes vid skallfraktur"	""	""	""	""	""	""
"AAK60"	"AAK"	"Resektion av skallbenstumör med rekonstruktion"	""	""	""	""	""	""
"AAK70"	"AAK"	"Biopsi av skallben"	""	""	""	""	""	""
"AAK75"	"AAK"	"Resektion av förändring i skallben"	""	""	""	""	""	""
"AAK80"	"AAK"	"Partiell ektomi av skalltaket"	""	"För lindring av akut cerebralt ödem"	""	""	""	""
"AAK85"	"AAK"	"Replantation av tidigare uttagen del av skalltak"	""	""	""	""	""	""
"AAK99"	"AAK"	"Annan operation på kranium eller dura"	""	""	""	""	""	""
"AAL"	"AA"	"Endovaskulära intrakraniella operationer"	""	""	""	""	"Öppen operation av intrakraniella aneurysm och kärlmissbildningar, se AAC"	""
"AAL00"	"AAL"	"Endovaskulär ocklusion p.g.a. intrakraniellt aneurysm"	""	""	""	""	""	""
"AAL10"	"AAL"	"Intrakraniell endovaskulär trombolys"	""	""	""	""	""	""
"AAL15"	"AAL"	"Intrakraniell endovaskulär trombektomi"	""	""	""	""	""	""
"AAL20"	"AAL"	"Endovaskulär ocklusion p.g.a. intrakraniell AV-missbildning"	""	""	""	""	""	""
"AAL30"	"AAL"	"Endovaskulär ocklusion av intrakraniell fistel"	""	""	""	""	""	""
"AAL40"	"AAL"	"Endovaskulär ocklusion p.g.a. intrakraniell tumör"	""	""	""	""	""	""
"AAL50"	"AAL"	"Endovaskulärt inläggande av stent i intrakraniellt kärl"	""	""	""	""	""	""
"AAL99"	"AAL"	"Annan endovaskulär intrakraniell operation"	""	""	""	""	""	""
"AAM"	"AA"	"Operationer med punktion och dränage vid intrakraniella infektioner"	""	""	""	""	"Dränage- och reservoaroperationer på hjärnventrikel och intrakraniell cysta, se AAF"	""
"AAM00"	"AAM"	"Punktion och tömning av intrakraniell abscess"	""	""	""	""	""	""
"AAM10"	"AAM"	"Exstirpation av intrakraniell abscess"	""	""	""	""	""	""
"AAM30"	"AAM"	"Utrymning av epiduralt eller subduralt empyem"	""	""	""	""	""	""
"AAM99"	"AAM"	"Annan operation vid intrakraniell infektion"	""	""	""	""	""	""
"AAN"	"AA"	"Operationer vid intrakraniella kongenitala missbildningar"	""	""	""	""	""	""
"AAN00"	"AAN"	"Exstirpation och plastik av encefalocele"	""	""	""	""	""	""
"AAN99"	"AAN"	"Annan operation vid intrakraniell kongenital missbildning"	""	""	""	""	""	""
"AAP"	"AA"	"Rekonstruktiva operationer vid ansiktsförlamning"	""	""	""	""	"Operation för endast ögonbrynsptos, se CBJ50"	""
"AAP00"	"AAP"	"Lokal muskeltransposition vid facialispares"	""	""	""	""	""	""
"AAP10"	"AAP"	"Crossfaciell nervtransplantation vid facialispares"	""	""	""	""	""	""
"AAP20"	"AAP"	"Mikrovaskulär muskelförflyttning vid facialispares"	""	""	""	""	""	""
"AAP99"	"AAP"	"Annan rekonstruktiv operation vid facialispares"	""	""	""	""	""	""
"AAU"	"AA"	"Avlägsnande av implantat och externt fixationsmaterial från skallen"	""	""	""	""	""	""
"AAU00"	"AAU"	"Avlägsnande av implantat eller externt fixationsmaterial från skallen"	""	""	""	""	"Från tänder, under- och överkäke, se EBU–EHU"	""
"AAW"	"AA"	"Andra operationer på kraniet och intrakraniella strukturer"	""	""	""	""	"Byte och avlägsnande av intrakraniell stimuleringsutrusning eller injektionsport, se AEA"	""
"AAW01"	"AAW"	"Inläggande av intrakraniell stimuleringsutrustning"	""	""	""	""	""	""
"AAW02"	"AAW"	"Inläggande av intrakraniell injektionsport"	""	""	""	""	""	""
"AAW99"	"AAW"	"Annan operation på kraniet eller intrakraniell struktur"	""	""	""	"Annan intrakraniell stimulering"	""	""
"AB"	"A"	"Operationer på ryggmärgen och nervrötter"	""	""	""	""	""	"Tilläggskod för extraspinala ingrepp på nervrötter via laparoskop, se ZXC90"
"ABA"	"AB"	"Diagnostiska operationer på ryggmärgen och nervrötter"	""	""	""	""	""	""
"ABA00"	"ABA"	"Explorativ laminektomi"	""	""	""	""	""	""
"ABA10"	"ABA"	"Biopsi av patologisk förändring i spinalkanal"	""	""	""	""	""	""
"ABA20"	"ABA"	"Intratekal endoskopi"	""	""	""	""	""	""
"ABA30"	"ABA"	"Epiduroskopi"	""	""	""	""	""	""
"ABA99"	"ABA"	"Annan diagnostisk operation på ryggmärg eller nervrötter"	""	""	""	""	""	""
"ABB"	"AB"	"Operationer för patologisk förändring i ryggmärgen och nervrötter"	""	""	""	""	""	"Tilläggskod för fysisk vävnadsdestruktion eller läkemedel, se ZXC"
"ABB00"	"ABB"	"Exstirpation av förändring i spinalkanalen"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ABB02"	"ABB"	"Exstirpation av förändring i nervrot"	""	""	""	"Total eller partiell exstirpation av nervrot"	""	""
"ABB04"	"ABB"	"Destruktion av förändring i nervrot"	""	""	""	""	""	""
"ABB06"	"ABB"	"Perkutan destruktion av förändring i nervrot"	""	""	""	""	""	"Tilläggskod för användande av bildteknik, se ZXM"
"ABB06"	""	""	""	""	""	""	""	"Tilläggskod för endoskopisk teknik, se ZXC90"
"ABB10"	"ABB"	"Resektion av förändring i spinalkanalen"	""	""	""	""	""	""
"ABB20"	"ABB"	"Dränage av cysta i spinalkanalen"	""	""	""	""	""	""
"ABB30"	"ABB"	"Destruktion av förändring i spinalkanalen"	""	""	""	""	""	""
"ABB40"	"ABB"	"Utrymning av spontant hematom i spinalkanalen"	""	""	""	""	""	""
"ABB99"	"ABB"	"Annan operation för patologisk förändring i ryggmärgen eller nervrötter"	""	""	""	""	""	""
"ABC"	"AB"	"Dekompressiva operationer på ryggmärgen och nervrötter"	""	""	""	""	"Andra operationer på mjuk vävnad, se NAM"	""
"ABC"	""	""	""	""	""	""	"Excision av ben, se NAK, NAR"	""
"ABC04"	"ABC"	"Perkutan endoskopisk diskektomi i bröstryggraden"	""	""	""	""	""	""
"ABC10"	"ABC"	"Mikrokirurgisk diskektomi i halsryggraden"	""	""	""	""	""	""
"ABC13"	"ABC"	"Mikrokirurgisk diskektomi i bröstryggraden"	""	""	""	""	""	""
"ABC16"	"ABC"	"Mikrokirurgisk diskektomi i ländryggraden"	""	""	""	""	""	""
"ABC20"	"ABC"	"Öppen diskektomi i halsryggraden"	""	""	""	""	""	""
"ABC21"	"ABC"	"Främre dekompression i halsryggraden med inläggande av främre fixationsimplantat"	""	"”Cage”-operation utan avsedd benfusion"	""	""	"Främre fusion, se NAG"	""
"ABC23"	"ABC"	"Öppen diskektomi i bröstryggraden"	""	""	""	""	""	""
"ABC26"	"ABC"	"Öppen diskektomi i ländryggraden"	""	""	""	""	""	""
"ABC28"	"ABC"	"Inläggande av expanderande implantat mellan spinalutskotten"	""	"Som alternativ till laminektomi av spinal stenos"	""	""	""	""
"ABC30"	"ABC"	"Dekompression av nervrötter i halsryggraden"	""	""	""	""	""	""
"ABC33"	"ABC"	"Dekompression av nervrötter i bröstryggraden"	""	""	""	""	""	""
"ABC36"	"ABC"	"Dekompression av nervrötter i ländryggraden"	""	""	""	""	""	""
"ABC40"	"ABC"	"Dekompression av cauda equina i sakrum"	""	""	""	""	""	""
"ABC50"	"ABC"	"Dekompression av ryggmärgen och nervrötter i halsryggraden"	""	""	""	""	""	""
"ABC53"	"ABC"	"Dekompression av ryggmärgen och nervrötter i bröstryggraden"	""	""	""	""	""	""
"ABC56"	"ABC"	"Dekompression av ryggmärgen och nervrötter vid degenerativa förändringar i ländryggraden"	""	""	""	""	""	""
"ABC60"	"ABC"	"Dekompression av ryggmärgen i halsryggraden"	""	""	""	""	""	""
"ABC63"	"ABC"	"Dekompression av ryggmärgen i bröstryggraden"	""	""	""	""	""	""
"ABC66"	"ABC"	"Dekompression av ryggmärgen i ländryggraden"	""	""	""	""	""	""
"ABC71"	"ABC"	"Främre endoskopisk cervikal diskektomi"	""	""	""	""	""	""
"ABC72"	"ABC"	"Bakre endoskopisk cervikal diskektomi"	""	""	""	""	""	""
"ABC73"	"ABC"	"Foraminell endoskopisk cervikal diskektomi"	""	""	""	""	""	""
"ABC74"	"ABC"	"Interlaminär endoskopisk torakal diskektomi"	""	""	""	""	""	""
"ABC75"	"ABC"	"Transforaminell endoskopisk torakal diskektomi"	""	""	""	""	""	""
"ABC76"	"ABC"	"Interlaminär endoskopisk lumbal diskektomi"	""	""	""	""	""	""
"ABC77"	"ABC"	"Transforaminell endoskopisk lumbal diskektomi"	""	""	""	""	""	""
"ABC78"	"ABC"	"Foraminell endoskopisk lumbal diskektomi"	""	""	""	""	""	""
"ABC79"	"ABC"	"Extraforaminell endoskopisk lumbal diskektomi"	""	""	""	""	""	""
"ABC80"	"ABC"	"Bakre endoskopisk cervikal foraminotomi"	""	""	""	""	""	""
"ABC81"	"ABC"	"Cervikal endoskopisk uniportal laminektomi för bilateral dekompression"	""	""	""	""	""	""
"ABC82"	"ABC"	"Cervikal endoskopisk biportal laminektomi för bilateral dekompression"	""	""	""	""	""	""
"ABC83"	"ABC"	"Torakal endoskopisk uniportal laminektomi för bilateral dekompression"	""	""	""	""	""	""
"ABC84"	"ABC"	"Torakal endoskopisk biportal laminektomi för bilateral dekompression"	""	""	""	""	""	""
"ABC85"	"ABC"	"Interlaminell endoskopisk lateral recess dekompression"	""	""	""	""	""	""
"ABC86"	"ABC"	"Transforaminell endoskopisk lumbal foraminotomi"	""	""	""	""	""	""
"ABC87"	"ABC"	"Transforaminell endoskopisk lateral recess dekompression"	""	""	""	""	""	""
"ABC88"	"ABC"	"Interlaminär kontralateral endoskopisk lumbal foraminotomi"	""	""	""	""	""	""
"ABC89"	"ABC"	"Lumbal endoskopisk unilateral laminotomi för bilateral dekompression"	""	""	""	""	""	""
"ABC90"	"ABC"	"Lumbal endoskopisk bilateral laminotomi för bilateral dekompression"	""	""	""	""	""	""
"ABC99"	"ABC"	"Annan dekompressiv operation av ryggmärgen eller nervrötter"	""	""	""	""	""	""
"ABD"	"AB"	"Operationer på ryggmärgen och nervrötter p.g.a. smärta och funktionella störningar"	""	""	""	""	"Byte och avlägsnande av spinal stimuleringsutrustning eller injektionsport, se AEA"	""
"ABD10"	"ABD"	"Öppen kordotomi"	""	""	""	""	""	""
"ABD15"	"ABD"	"Perkutan kordotomi"	""	""	""	""	""	"Tilläggskod för teknik, se ZXC"
"ABD20"	"ABD"	"Myelotomi"	""	""	""	""	""	""
"ABD30"	"ABD"	"Inläggande av spinal stimuleringsutrustning"	""	""	""	""	""	""
"ABD40"	"ABD"	"Inläggande av spinal injektionsport"	""	""	""	"Pump för spinal infusion"	""	""
"ABD50"	"ABD"	"Avskärning av spinal nervrot p.g.a. smärta eller funktionell störning"	""	""	""	""	""	""
"ABD60"	"ABD"	"Implantation av spinal nervelektrod PNE 1"	""	"PNE = peritoneus nerve evaluation (första seans)"	""	""	""	""
"ABD65"	"ABD"	"Implantation av spinal nervstimuleringsutrustning PNE 2"	""	"PNE = peritoneus nerve evaluation (andra seans)"	""	""	""	""
"ABD99"	"ABD"	"Annan operation på ryggmärgen eller nervrötter p.g.a. smärta och funktionell störning"	""	""	""	""	""	""
"ABE"	"AB"	"Operationer p.g.a. spinala missbildningar"	""	""	""	""	""	""
"ABE10"	"ABE"	"Exstirpation och plastik av myelo- eller meningocele"	""	""	""	""	""	""
"ABE20"	"ABE"	"Lösning av fjättrad ryggmärg eller diastematomyeli"	""	""	""	""	""	""
"ABE30"	"ABE"	"Exstirpation av dermal sinus"	""	""	""	""	""	""
"ABE40"	"ABE"	"Operation för hydromyeli"	""	""	""	""	""	""
"ABE50"	"ABE"	"Occipitocervikal dekompression"	""	""	""	""	""	""
"ABE99"	"ABE"	"Annan operation p.g.a. spinal missbildning"	""	""	""	""	""	""
"ABW"	"AB"	"Andra operationer på ryggmärgen och nervrötter"	""	""	""	""	""	""
"ABW99"	"ABW"	"Annan operation på ryggmärgen eller nervrötter"	""	""	""	""	""	""
"AC"	"A"	"Operationer på perifera nerver"	""	""	""	""	"Blockad av perifer nerv, se TAC00"	""
"ACA"	"AC"	"Diagnostiska operationer på perifera nerver"	""	""	""	""	""	""
"ACA11"	"ACA"	"Exploration av perifer nerv - medianus"	""	""	""	""	""	""
"ACA12"	"ACA"	"Exploration av perifer nerv - radialis"	""	""	""	""	""	""
"ACA13"	"ACA"	"Exploration av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACA14"	"ACA"	"Exploration av perifer nerv - peroneus"	""	""	""	""	""	""
"ACA15"	"ACA"	"Exploration av perifer nerv - tibialis"	""	""	""	""	""	""
"ACA16"	"ACA"	"Exploration av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACA17"	"ACA"	"Exploration av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACA18"	"ACA"	"Exploration av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACA19"	"ACA"	"Exploration av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACA21"	"ACA"	"Biopsi av perifer nerv - medianus"	""	""	""	""	""	""
"ACA22"	"ACA"	"Biopsi av perifer nerv - radialis"	""	""	""	""	""	""
"ACA23"	"ACA"	"Biopsi av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACA24"	"ACA"	"Biopsi av perifer nerv - peroneus"	""	""	""	""	""	""
"ACA25"	"ACA"	"Biopsi av perifer nerv - tibialis"	""	""	""	""	""	""
"ACA26"	"ACA"	"Biopsi av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACA27"	"ACA"	"Biopsi av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACA28"	"ACA"	"Biopsi av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACA29"	"ACA"	"Biopsi av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACA91"	"ACA"	"Annan diagnostisk operation på perifer nerv - medianus"	""	""	""	""	""	""
"ACA92"	"ACA"	"Annan diagnostisk operation på perifer nerv - radialis"	""	""	""	""	""	""
"ACA93"	"ACA"	"Annan diagnostisk operation på perifer nerv - ulnaris"	""	""	""	""	""	""
"ACA94"	"ACA"	"Annan diagnostisk operation på perifer nerv - peroneus"	""	""	""	""	""	""
"ACA95"	"ACA"	"Annan diagnostisk operation på perifer nerv - tibialis"	""	""	""	""	""	""
"ACA96"	"ACA"	"Annan diagnostisk operation på perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACA97"	"ACA"	"Annan diagnostisk operation på perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACA98"	"ACA"	"Annan diagnostisk operation på perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACA99"	"ACA"	"Annan diagnostisk operation på perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACB"	"AC"	"Operationer p.g.a. patologisk förändring eller skada på perifera nerver"	""	""	""	""	""	""
"ACB11"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - medianus"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB12"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - radialis"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB13"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - ulnaris"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB14"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - peroneus"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB15"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - tibialis"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB16"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - ischiadicus"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB17"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - plexus lumbalis"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB18"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - plexus brachialis"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB19"	"ACB"	"Exstirpation av patologisk förändring från perifer nerv - annan eller ospecificerad nerv"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"ACB21"	"ACB"	"Sutur av perifer nerv - medianus"	""	""	""	""	""	""
"ACB22"	"ACB"	"Sutur av perifer nerv - radialis"	""	""	""	""	""	""
"ACB23"	"ACB"	"Sutur av perifer nerv - ulnaris"	""	""	""	""	""	""
"ACB24"	"ACB"	"Sutur av perifer nerv - peroneus"	""	""	""	""	""	""
"ACB25"	"ACB"	"Sutur av perifer nerv - tibialis"	""	""	""	""	""	""
"ACB26"	"ACB"	"Sutur av perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACB27"	"ACB"	"Sutur av perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACB28"	"ACB"	"Sutur av perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACB29"	"ACB"	"Sutur av perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACB91"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - medianus"	""	""	""	""	""	""
"ACB92"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - radialis"	""	""	""	""	""	""
"ACB93"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - ulnaris"	""	""	""	""	""	""
"ACB94"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - peroneus"	""	""	""	""	""	""
"ACB95"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - tibialis"	""	""	""	""	""	""
"ACB96"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - ischiadicus"	""	""	""	""	""	""
"ACB97"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - plexus lumbalis"	""	""	""	""	""	""
"ACB98"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - plexus brachialis"	""	""	""	""	""	""
"ACB99"	"ACB"	"Annan operation p.g.a. patologisk förändring eller skada på perifer nerv - annan eller ospecificerad nerv"	""	""	""	""	""	""
"ACC"	"AC"	"Operationer på perifera nerver p.g.a. funktionella rubbningar"	""	""	""	""	"Operation för thoracic outlet syndrome, se GAE40"	""
"ACC11"	"ACC"	"Genomskärning av perifer nerv - medianus"	""	""	""	""	""	""
"ACC12"	"ACC"	"Genomskärning av perifer nerv - radialis"	""	""	""	""	""	""
